date,ticker,weight,momentum,volatility,notional_units,price
2018-03-29,AMZN,0.02928297288492945,0.7298585928465089,0.31051488417252915,404.64540735282685,72.36699676513672
2018-03-29,CAT,0.026714344960586004,0.7091298405960018,0.34037139772682345,215.39443928276927,124.02523040771484
2018-03-29,MA,0.03621195717629162,0.5793220859864836,0.2510993506737144,216.5328103048591,167.2354278564453
2018-03-29,BLK,0.029324062886831256,0.4731710396102795,0.3100797788042714,66.14036266625669,443.361083984375
2018-03-29,MSFT,0.02805486281717523,0.46225281191767875,0.32410776673,333.4086471536231,84.14557647705078
2018-03-29,INTU,0.03546575216701223,0.43060885610390986,0.2563825205446698,216.83329112105216,163.5623016357422
2018-03-29,UNH,0.033316454451698556,0.3994457789526642,0.2729221666361201,177.72774871189006,187.4578094482422
2018-03-29,BAC,0.032468820002817575,0.3922097286231254,0.28004710158244517,1308.995204222648,24.804384231567383
2018-03-29,V,0.035075379207011544,0.38809357564160973,0.259235940969486,310.0366875224511,113.13299560546875
2018-03-29,ABT,0.0378474863817097,0.3796010172842521,0.2402484234193528,731.733796472357,51.723026275634766
2018-03-29,CSCO,0.030680298735645407,0.37312055053554194,0.2963725683357463,911.5350702417524,33.6578369140625
2018-03-29,TMO,0.03651359444556721,0.35789095985644215,0.2490250294899426,180.6709356737211,202.09999084472656
2018-03-29,ACN,0.03290484972087074,0.3577124421652351,0.2763361331452561,243.27353037444027,135.25865173339844
2018-03-29,JPM,0.03551098150037439,0.3379111533457009,0.2560559733753153,403.6964885627517,87.96455383300781
2018-03-29,GOOGL,0.028582637545676127,0.2989282684030252,0.3181231584755097,555.7374565623281,51.431907653808594
2018-03-29,WMT,0.029177126468499,0.29577092035734465,0.31164134492161844,1113.8487125510483,26.194873809814453
2018-03-29,LIN,0.03291409099732547,0.28661034846569877,0.27625854635724384,258.1270432760125,127.5112075805664
2018-03-29,AXP,0.03241354634630755,0.26527139066990935,0.28052465584738473,388.02252989491245,83.53521728515625
2018-03-29,HD,0.03460398514248324,0.26048454292747514,0.262767392141432,236.01632630078467,146.61691284179688
2018-03-29,AAPL,0.033765168521864106,0.2554656072472201,0.2692952332728113,856.6355118104019,39.4160270690918
2018-03-29,MCD,0.04037330880733972,0.2545685627869503,0.2252180760556871,311.2434877080079,129.71615600585938
2018-03-29,BRK-B,0.03200402311264684,0.24377214420476512,0.28411424718656797,160.43725585576877,199.47999572753906
2018-03-29,RTX,0.03417011098314869,0.23038939128046998,0.2661038747598853,519.368093603287,65.79170227050781
2018-03-29,HON,0.04142682535465193,0.230165411540046,0.21949060435474874,374.5174101749787,110.61388397216797
2018-03-29,COST,0.03992094358081049,0.20025230681509654,0.2277701406326973,236.15190633279357,169.0477294921875
2018-03-29,NEE,0.044842409164384145,0.19737163256899626,0.20277231092242673,1339.4431241619561,33.478397369384766
2018-03-29,GILD,0.02826672806729571,0.19544560016738988,0.3216785088087874,505.7894253897635,55.886356353759766
2018-03-29,QCOM,0.025775080863165916,0.17680390964545412,0.3527747975598135,571.5394485531784,45.09764099121094
2018-03-29,GS,0.03050760446001498,0.16565276731367895,0.2980502433584625,144.88975726376256,210.55735778808594
2018-03-29,AMGN,0.03188459324586507,0.15932150841069292,0.28517845165769434,238.47297757205362,133.7031707763672
2018-06-29,AMZN,0.027335444440838522,0.669812401938443,0.2366771227177451,334.40449688255325,84.98999786376953
2018-06-29,MA,0.031004802738967316,0.5746417599856506,0.20866684406726627,171.563452089561,187.8961944580078
2018-06-29,INTU,0.029968059999749948,0.5299027772599594,0.21588565754748307,161.25459758122287,193.22366333007812
2018-06-29,TXN,0.02754114548753772,0.49058195809071625,0.2349094136769275,323.4246695781617,88.53656005859375
